job_name,learning_rate,epochs,batch_size,hidden_size,num_layers,bidirectional,avg_train_loss,avg_val_loss,avg_mask2_coverage,avg_mask2_accuracy
job_1,0.001,40,8,64,1,True,0.4641641774992319,0.407678367739374,0.6298672759273932,0.6976502592926751
job_2,0.001,40,8,64,1,False,0.6456851338554215,0.7322862805290655,0.29609867406045076,0.3529643580789684
job_3,0.001,40,8,64,2,True,0.38066906529328143,0.4394948475740172,0.6047317862312672,0.6707353112415898
job_4,0.001,40,8,64,2,False,0.6446680619386338,0.5625618575648829,0.3676145138459208,0.4300456540226323
job_5,0.001,40,8,64,3,True,0.44591701789501287,0.4238371268592097,0.6466670507755354,0.7117072341429527
job_6,0.001,40,8,64,3,False,0.6767359097793986,0.5642342404885726,0.3618171164957157,0.4233313039362471
job_7,0.001,80,8,64,1,True,0.3315865888296076,0.29530058509924195,0.6722025106708978,0.7403915145603406
job_8,0.001,80,8,64,1,False,0.5068886735180733,0.4409843469885263,0.5133470512230083,0.5726673943955187
job_9,0.001,80,8,64,2,True,0.3520760043451786,0.47702164050530305,0.656484533419174,0.721169671136783
job_10,0.001,80,8,64,2,False,0.5177658532033536,0.4522579977458173,0.4889438230467352,0.5473855437743219
job_11,0.001,80,8,64,3,True,0.33852016278539165,0.27949320883913475,0.6883179487964101,0.7512347960877959
job_12,0.001,80,8,64,3,False,0.45933445640325477,0.41170918101614173,0.6154953211789496,0.6890597591454676
job_13,0.001,100,8,64,1,True,0.31927892278901326,0.40573466470973063,0.6409920042024151,0.7102694740645707
job_14,0.001,100,8,64,1,False,0.509939311439691,0.42165234982967376,0.5526058889205222,0.6146381132543182
job_15,0.001,100,8,64,2,True,0.24146937171347177,0.31265487535433334,0.6976480483470204,0.7614844689007534
job_16,0.001,100,8,64,2,False,0.39505089946239336,0.36480981213125313,0.6415158074382579,0.7089053704252031
job_17,0.001,100,8,64,3,True,0.38441543752952334,0.36202385195276954,0.6630015066442881,0.7261109196209854
job_18,0.001,100,8,64,3,False,0.47942824015932856,0.3904609135606073,0.6049624960213894,0.6680614915835167
job_19,0.001,40,8,128,1,True,0.3119534181665252,0.32937196686186576,0.6880104744048634,0.7528409134329006
job_20,0.001,40,8,128,1,False,0.4283002189480934,0.3923804657025771,0.6511639932494379,0.7170899941973293
job_21,0.001,40,8,128,2,True,0.2599600575904083,0.3278315049003471,0.6935513206751478,0.7606245542268065
job_22,0.001,40,8,128,2,False,0.3476366994857461,0.36975967599587,0.6838021697629592,0.757704723907634
job_23,0.001,40,8,128,3,True,0.3159593086040173,0.29694030549038536,0.6901333677721976,0.7596909354902179
job_24,0.001,40,8,128,3,False,0.4003944559479917,0.4156247097660194,0.6565462861890515,0.7210572201921613
job_25,0.001,80,8,128,1,True,0.26907220233354595,0.290296986292709,0.7077788556329389,0.7804664034612211
job_26,0.001,80,8,128,1,False,0.43714696682248827,0.40170646783980446,0.6412296345610768,0.7055224934191447
job_27,0.001,80,8,128,2,True,0.2389303685747543,0.37964699044823647,0.6832042134201777,0.7493642306578323
job_28,0.001,80,8,128,2,False,0.29028316284057626,0.3542583678256382,0.687782986322025,0.7518150463471371
job_29,0.001,80,8,128,3,True,0.384186417828448,0.3202526009895585,0.6607912073000095,0.7260077727623073
job_30,0.001,80,8,128,3,False,0.34060441782065454,0.2717486087571491,0.6941154342340509,0.7612693944595479
job_31,0.001,100,8,128,1,True,0.3216019278414224,0.30464666340161456,0.6870587269908668,0.7530600543013339
job_32,0.001,100,8,128,1,False,0.363685194653703,0.655558607591824,0.6258258762822801,0.690434380526567
job_33,0.001,100,8,128,2,True,0.2318175323943406,0.3397785716097463,0.6946466671993593,0.7618042986734437
job_34,0.001,100,8,128,2,False,0.28101068818710706,0.5161781612445007,0.6176115619784597,0.6922157599559433
job_35,0.001,100,8,128,3,True,0.31059370020506805,0.30645685392347255,0.6814483696198941,0.7458942981585994
job_36,0.001,100,8,128,3,False,0.3713993839905532,0.2775672082196582,0.6872771049779829,0.7497642710090389
job_37,0.001,40,8,256,1,True,0.26572025816277456,0.26842603781683877,0.6992189813940147,0.7654217809519783
job_38,0.001,40,8,256,1,False,0.2945818323985888,0.32111525027589366,0.6969477519213769,0.7670545658137844
job_39,0.001,40,8,256,2,True,0.398261853236937,0.31620660356499924,0.6837564248372119,0.7527327748326353
job_40,0.001,40,8,256,2,False,0.34469446742420795,0.28761568110097535,0.692784372817384,0.7566431810830854
job_41,0.001,40,8,256,3,True,0.30801766620033677,0.2736464429308068,0.690099915408841,0.7599144290807635
job_42,0.001,40,8,256,3,False,0.39002805179182864,0.3046380032192577,0.6794485685381966,0.7473970319650008
job_43,0.001,80,8,256,1,True,0.24484910026091294,0.46833874969319866,0.6624161717931454,0.7400995347641748
job_44,0.001,80,8,256,1,False,0.3057323101507953,0.3578680820424448,0.6625539409948753,0.7309657661785427
job_45,0.001,80,8,256,2,True,0.29613882256489515,0.4041419927369464,0.6576661618197372,0.7298601981589823
job_46,0.001,80,8,256,2,False,0.31594011851920234,0.2980522331527688,0.6729994155316564,0.7390190822067442
job_47,0.001,80,8,256,3,True,0.3020060752003153,0.2805601057342508,0.6883779781924936,0.7544623067893947
job_48,0.001,80,8,256,3,False,0.31758476792947277,0.2685702267356894,0.6916791695272017,0.7516416202339065
job_49,0.001,100,8,256,1,True,0.27259104941673834,0.4063017802820964,0.6509185729854631,0.7091754945163357
job_50,0.001,100,8,256,1,False,0.38368154097048723,0.6841468693857844,0.5453910864719465,0.5879466110619181
job_51,0.001,100,8,256,2,True,0.31353621592466857,0.3314324014904824,0.672840881628547,0.7259243501746542
job_52,0.001,100,8,256,2,False,0.2553670573765519,0.30802169692787257,0.6947977935686411,0.7578929628172519
job_53,0.001,100,8,256,3,True,0.5858513020064638,0.3918974635953253,0.6122195493495617,0.6729841074785354
job_54,0.001,100,8,256,3,False,0.3275668926802544,0.3737249726598913,0.6723272974281547,0.7405261301274855
job_55,0.001,120,8,128,3,True,0.28092833017820246,0.25736923522569916,0.6998657321218684,0.7695225073688298
job_56,0.001,100,8,256,3,True,0.34490680121719713,0.3205830221487717,0.6551211205861647,0.7217207387877111
job_57,0.001,100,8,256,3,True,0.3005092640033587,0.3399325687099587,0.679806685475414,0.7435005682090592
job_58,0.001,100,8,256,4,True,0.3144295378859398,0.2645483154464851,0.6993940964726291,0.7727197686042613